001  00443 |Loss: 0.605 | Acc: 71.614% 
001  00444 |Loss: 0.605 | Acc: 71.650% 
001  00445 |Loss: 0.604 | Acc: 71.657% 
001  00446 |Loss: 0.605 | Acc: 71.637% 
001  00447 |Loss: 0.606 | Acc: 71.616% 
001  00448 |Loss: 0.606 | Acc: 71.624% 
001  00449 |Loss: 0.605 | Acc: 71.659% 
001  00450 |Loss: 0.605 | Acc: 71.667% 
001  00451 |Loss: 0.605 | Acc: 71.674% 
001  00452 |Loss: 0.604 | Acc: 71.709% 
001  00453 |Loss: 0.604 | Acc: 71.716% 
001  00454 |Loss: 0.604 | Acc: 71.751% 
001  00455 |Loss: 0.604 | Acc: 71.758% 
001  00456 |Loss: 0.603 | Acc: 71.820% 
001  00457 |Loss: 0.603 | Acc: 71.827% 
001  00458 |Loss: 0.603 | Acc: 71.834% 
001  00459 |Loss: 0.604 | Acc: 71.786% 
001  00460 |Loss: 0.604 | Acc: 71.793% 
001  00461 |Loss: 0.604 | Acc: 71.773% 
001  00462 |Loss: 0.603 | Acc: 71.807% 
001  00463 |Loss: 0.603 | Acc: 71.814% 
001  00464 |Loss: 0.602 | Acc: 71.794% 
001  00465 |Loss: 0.602 | Acc: 71.801% 
001  00466 |Loss: 0.602 | Acc: 71.808% 
001  00467 |Loss: 0.603 | Acc: 71.761% 
001  00468 |Loss: 0.603 | Acc: 71.741% 
001  00469 |Loss: 0.604 | Acc: 71.722% 
001  00470 |Loss: 0.604 | Acc: 71.702% 
001  00471 |Loss: 0.604 | Acc: 71.709% 
001  00472 |Loss: 0.604 | Acc: 71.716% 
001  00473 |Loss: 0.604 | Acc: 71.723% 
001  00474 |Loss: 0.603 | Acc: 71.756% 
001  00475 |Loss: 0.603 | Acc: 71.737% 
001  00476 |Loss: 0.603 | Acc: 71.744% 
001  00477 |Loss: 0.604 | Acc: 71.672% 
001  00478 |Loss: 0.604 | Acc: 71.679% 
001  00479 |Loss: 0.604 | Acc: 71.686% 
001  00480 |Loss: 0.603 | Acc: 71.719% 
001  00481 |Loss: 0.603 | Acc: 71.674% 
001  00482 |Loss: 0.604 | Acc: 71.629% 
001  00483 |Loss: 0.603 | Acc: 71.661% 
001  00484 |Loss: 0.603 | Acc: 71.694% 
001  00485 |Loss: 0.603 | Acc: 71.727% 
001  00486 |Loss: 0.603 | Acc: 71.708% 
001  00487 |Loss: 0.603 | Acc: 71.715% 
001  00488 |Loss: 0.603 | Acc: 71.721% 
001  00489 |Loss: 0.602 | Acc: 71.754% 
001  00490 |Loss: 0.602 | Acc: 71.760% 
001  00491 |Loss: 0.602 | Acc: 71.767% 
001  00492 |Loss: 0.602 | Acc: 71.799% 
001  00493 |Loss: 0.602 | Acc: 71.755% 
001  00494 |Loss: 0.601 | Acc: 71.812% 
001  00495 |Loss: 0.602 | Acc: 71.793% 
001  00496 |Loss: 0.603 | Acc: 71.749% 
001  00497 |Loss: 0.603 | Acc: 71.680% 
001  00498 |Loss: 0.603 | Acc: 71.712% 
001  00499 |Loss: 0.602 | Acc: 71.743% 
001  00500 |Loss: 0.602 | Acc: 71.750% 
001  00501 |Loss: 0.602 | Acc: 71.732% 
001  00502 |Loss: 0.602 | Acc: 71.738% 
001  00503 |Loss: 0.602 | Acc: 71.720% 
001  00504 |Loss: 0.602 | Acc: 71.726% 
001  00505 |Loss: 0.602 | Acc: 71.708% 
001  00506 |Loss: 0.602 | Acc: 71.764% 
001  00507 |Loss: 0.602 | Acc: 71.770% 
001  00508 |Loss: 0.602 | Acc: 71.777% 
001  00509 |Loss: 0.602 | Acc: 71.758% 
001  00510 |Loss: 0.602 | Acc: 71.765% 
001  00511 |Loss: 0.602 | Acc: 71.722% 
001  00512 |Loss: 0.602 | Acc: 71.753% 
001  00513 |Loss: 0.602 | Acc: 71.735% 
001  00514 |Loss: 0.601 | Acc: 71.766% 
001  00515 |Loss: 0.602 | Acc: 71.699% 
001  00516 |Loss: 0.603 | Acc: 71.705% 
001  00517 |Loss: 0.603 | Acc: 71.712% 
001  00518 |Loss: 0.602 | Acc: 71.742% 
